batter,ACI,ACI_HUNT,ACI_2K,ACI_RISP,Pitches,ACI_20,ACI_40,ACI_80,player_name,batting_team
543877,0.233,0.198,0.302,0.267,489,0.185,0.25,0.261,christian vázquez,MLB
701807,0.233,0.22,0.27,0.279,903,0.256,0.314,0.269,carson benge,MLB
701762,0.232,0.171,0.375,0.222,1170,0.295,0.276,0.272,nick kurtz,MLB
592885,0.232,0.197,0.282,0.195,508,0.338,0.315,0.266,christian yelich,MLB
695506,0.232,0.16,0.385,0.217,719,0.255,0.238,0.246,jac caglianone,MLB
542303,0.232,0.157,0.359,0.253,913,0.233,0.237,0.244,marcell ozuna,MLB
687093,0.232,0.145,0.348,0.233,491,0.262,0.265,0.273,vaughn grissom,MLB
672580,0.231,0.148,0.425,0.222,940,0.182,0.222,0.245,maikel garcía,MLB
641487,0.23,0.139,0.413,0.204,838,0.177,0.219,0.274,j. p. crawford,MLB
686555,0.23,0.182,0.365,0.239,744,0.299,0.238,0.243,isaac collins,MLB
803011,0.23,0.182,0.339,0.207,644,0.28,0.236,0.235,sam antonacci,MLB
686217,0.23,0.132,0.367,0.273,801,0.154,0.207,0.24,sal frelick,MLB
608324,0.229,0.167,0.347,0.25,1053,0.264,0.208,0.251,alex bregman,MLB
810938,0.229,0.179,0.307,0.22,612,0.315,0.298,0.275,ben williamson,MLB
621043,0.227,0.158,0.345,0.212,629,0.241,0.306,0.267,carlos correa,MLB
699912,0.226,0.16,0.315,0.191,606,0.316,0.292,0.284,jose fernandez,MLB
694374,0.226,0.168,0.299,0.225,363,0.347,0.302,0.261,tim tawa,MLB
624641,0.226,0.212,0.213,0.315,399,0.348,0.359,0.271,edmundo sosa,MLB
687401,0.225,0.191,0.273,0.2,596,0.26,0.25,0.245,joey ortiz,MLB
672640,0.224,0.176,0.252,0.231,896,0.271,0.239,0.227,otto lopez,MLB
663837,0.224,0.178,0.256,0.198,700,0.284,0.306,0.272,matt vierling,MLB
